"Age","Sexe","Niveau d'étude","Combien de jeux y a-t-il dans votre ludothèque ?","A quelle fréquence jouez-vous ?","Dans quel(s) contexte(s) jouez-vous ?","Regardez-vous des vidéos relatives à certains de vos jeux favoris ? Si oui, des vidéos-règles, des parties filmées ou bien les deux ?","Suivez-vous et regardez-vous de manière régulière une chaîne youtube ludique ? Si oui, laquelle ?"
"entre 30 et 39 ans","Homme","Bac+2","entre 40 et 100","1 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif;en famille","Vidéo-règles;Deck-profile;Parties filmées","crossworldtcg;videoregle.net"
"entre 20 et 29 ans","Homme","BAC+4","entre 10 et 20","1 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Deck-profile;Parties filmées","CardsManiacs"
"entre 30 et 39 ans","Femme","BAC+4","entre 20 et 40","moins de 4 fois / mois","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en famille","Vidéo-règles","videoregle.net;le passe temps;Philibert;Ludovox"
"40 ans et plus","Femme","BAC+4","Moins de 5","plus de 3 fois / semaine","En réseau","Nop","Aucune"
"entre 20 et 29 ans","Homme","Bac+2","Moins de 5","2 fois / semaine","soirée au bar à jeu ou en boutique;en compétitif","Deck-profile","topdeckdiffusion;crossworldtcg"
"entre 20 et 29 ans","Homme","Bac+2","entre 5 et 10","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Deck-profile;Parties filmées","topdeckdiffusion;crossworldtcg"
"entre 30 et 39 ans","Homme","Bac+5","plus de 100","plus de 3 fois / semaine","soirée à la maison entre amis;en famille;Pause dej","Vidéo-règles","Aucune"
"entre 30 et 39 ans","Homme","Bac+3","entre 5 et 10","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en famille","Vidéo-règles;Parties filmées","videoregle.net"
"40 ans et plus","Homme","BAC PRO / CAP / BAC","entre 20 et 40","1 fois / semaine","soirée à la maison entre amis;en famille","Nop","Aucune"
"entre 20 et 29 ans","Homme","BAC PRO / CAP / BAC","entre 5 et 10","1 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Deck-profile;Parties filmées","topdeckdiffusion;crossworldtcg"
"entre 30 et 39 ans","Homme","Bac+3","entre 20 et 40","1 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique","Deck-profile;Parties filmées","Aucune"
"entre 20 et 29 ans","Homme","Doctorant","entre 5 et 10","moins de 4 fois / mois","soirée à la maison entre amis;en famille","Nop","Aucune"
"entre 20 et 29 ans","Homme","BAC PRO / CAP / BAC","entre 20 et 40","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Deck-profile","Justwoegle"
"entre 30 et 39 ans","Homme","BAC PRO / CAP / BAC","entre 20 et 40","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif;en famille","Deck-profile;Parties filmées","topdeckdiffusion;cardsmaniacs;4 star ball"
"entre 30 et 39 ans","Femme","Bac+5","entre 5 et 10","moins de 4 fois / mois","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en famille","Nop","videoregle.net"
"entre 30 et 39 ans","Homme","BAC PRO / CAP / BAC","entre 20 et 40","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique","Vidéo-règles;Deck-profile","le passe temps"
